trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
205,False,"{'a': 0.2, 'e': 0.1274133376787588}",25,13,8.17253951603891,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.2, 'e': 0.12613920430197118}",20,8,12.376974500796463,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.2, 'e': 0.12487781225895148}",20,12,10.216723827713931,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.2, 'e': 0.12362903413636196}",20,13,14.99843907473811,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.2, 'e': 0.12239274379499834}",25,15,21.579707171363015,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.2, 'e': 0.12116881635704835}",25,12,13.854218464532842,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.2, 'e': 0.11995712819347787}",20,4,15.960355716483996,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.2, 'e': 0.11875755691154309}",20,6,27.855826693287614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.2, 'e': 0.11756998134242766}",20,13,15.891234632874891,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.2, 'e': 0.11639428152900338}",20,6,0.30970693789355375,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
215,False,"{'a': 0.2, 'e': 0.11523033871371334}",20,3,27.32869107689152,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.2, 'e': 0.1140780353265762}",20,10,18.16932321998153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.2, 'e': 0.11293725497331045}",25,11,11.544786326937572,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.2, 'e': 0.11180788242357734}",35,22,12.787129167155296,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.2, 'e': 0.11068980359934157}",20,15,10.33590531609953,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.2, 'e': 0.10958290556334815}",20,10,16.659587885305076,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.2, 'e': 0.10848707650771466}",20,14,-0.1977326520249738,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.2, 'e': 0.10740220574263752}",25,15,5.098614210652087,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.2, 'e': 0.10632818368521114}",20,6,24.789267267633456,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.2, 'e': 0.10526490184835903}",25,7,34.616553100606076,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.2, 'e': 0.10421225282987544}",25,11,22.86738683331982,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.2, 'e': 0.10317013030157669}",30,13,7.750087986166988,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.2, 'e': 0.10213842899856092}",20,10,-34.10948181939682,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
228,False,"{'a': 0.2, 'e': 0.10111704470857531}",25,14,22.831673194721862,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.2, 'e': 0.10010587426148955}",25,14,3.633976462222046,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.2, 'e': 0.09910481551887466}",25,5,38.498819593396526,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.2, 'e': 0.0981137673636859}",25,11,19.212981392468826,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.2, 'e': 0.09713262969004904}",30,12,19.574716609286437,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.2, 'e': 0.09616130339314856}",30,7,38.621750839582425,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.2, 'e': 0.09519969035921708}",20,11,18.406000897701446,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.2, 'e': 0.0942476934556249}",20,0,26.452232274368175,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
236,False,"{'a': 0.2, 'e': 0.09330521652106866}",35,21,27.867639528671216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.2, 'e': 0.09237216435585796}",20,12,13.966960056264412,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.2, 'e': 0.09144844271229938}",20,10,20.43362410235064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.2, 'e': 0.0905339582851764}",25,17,9.660017881925524,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.2, 'e': 0.08962861870232462}",25,14,-32.705667474091285,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
241,False,"{'a': 0.2, 'e': 0.08873233251530138}",30,13,35.93797117520014,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.2, 'e': 0.08784500919014836}",20,13,12.130019958475243,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.2, 'e': 0.08696655909824688}",30,17,3.4854358542199657,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
244,False,"{'a': 0.2, 'e': 0.0860968935072644}",30,19,10.10943015957509,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.2, 'e': 0.08523592457219176}",30,14,29.260063413580564,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.2, 'e': 0.08438356532646984}",20,2,8.655625926298326,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
247,False,"{'a': 0.2, 'e': 0.08353972967320515}",20,10,18.26337869291584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.2, 'e': 0.0827043323764731}",25,0,15.940084802222204,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
249,False,"{'a': 0.2, 'e': 0.08187728905270836}",20,10,17.41292321765382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.2, 'e': 0.08105851616218128}",25,16,17.60846454012248,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.2, 'e': 0.08024793100055946}",20,12,-5.067766451417228,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
252,False,"{'a': 0.2, 'e': 0.07944545169055386}",20,9,-22.443226644422793,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
253,False,"{'a': 0.2, 'e': 0.07865099717364833}",20,8,8.198226066632536,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.2, 'e': 0.07786448720191184}",20,6,23.38203598880955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.2, 'e': 0.07708584232989273}",25,20,8.64698682843418,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.2, 'e': 0.0763149839065938}",20,10,16.668119428502077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.2, 'e': 0.07555183406752786}",20,9,15.546430135274296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.2, 'e': 0.07479631572685258}",25,11,22.316234154544713,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.2, 'e': 0.07404835256958406}",20,7,24.79574597995918,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.2, 'e': 0.07330786904388821}",20,8,12.570475760478937,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.2, 'e': 0.07257479035344933}",25,0,0.06339443059328942,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
262,False,"{'a': 0.2, 'e': 0.07184904244991483}",35,9,30.37643395949169,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.2, 'e': 0.07113055202541568}",25,0,34.29334411792041,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
264,False,"{'a': 0.2, 'e': 0.07041924650516153}",30,4,43.81984024392021,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.2, 'e': 0.06971505404010991}",20,6,-41.28307561261136,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
266,False,"{'a': 0.2, 'e': 0.06901790349970881}",25,10,26.94591306559873,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
